PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SI-SCIA;VIA ERNESTO BREDA N. 149 - REALIZZAZIONE DI VANO TECNICO A SERVIZIO DELLA PLATEA DI LAVAGGIO TRENI;manufatti pertinenziali non rientranti nella nuova costruzione ai sensi dell'art. 27.1lett.e.6) L.R. 12/2005;2017-12-05T00:00:00.000+01:00;2020-12-05T00:00:00.000+01:00;VIA BREDA ERNESTO N.  149;9.22079262718;45.5184179359;45.5184179359, 9.22079262718
SI-SCIA;via nicotera  9  REALIZZAZIONE DI TETTOIE PER IL RICOVERO BICICLETTE E BUSSOLA DI INGRESSO;manufatti pertinenziali non rientranti nella nuova costruzione ai sensi dell'art. 27.1lett.e.6) L.R. 12/2005;2017-12-04T00:00:00.000+01:00;2020-12-04T00:00:00.000+01:00;VIA NICOTERA GIOVANNI N.  9  PIANO T;9.17458611578;45.510527369;45.510527369, 9.17458611578
SP-SCIA;Opere di manutenzione straordinaria per diversa distribuzione degli spazi  interni.;SP-Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;ALZAIA NAVIGLIO PAVES N.  260;9.16879327034;45.425502703;45.425502703, 9.16879327034
SI-SCIA a sportello;VIA S. VITO N.  7  - traslazione di slp dai piani superiori al pt-ps1 per ampliamento locale ristorazione aal pt e lavori edili di costruzione / demolizione di muri ;;2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;VIA S. VITO N.  7;9.18168659708;45.4599298828;45.4599298828, 9.18168659708
SI-SCIA a sportello;via valtellina n. 4 - opere di fusione e parziale cambio d' uso con modifiche interne per miglioria igienico sanitaria e realizzazione di soppalco con superficie inferiore AD 1/3;manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;VIA VALTELLINA N.  4;9.18207042302;45.4894230898;45.4894230898, 9.18207042302
SP-SCIA;manutenzione straordinaria campi da calcio;SP-Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;VIA OSMA CARLO N.  9;9.12964336253;45.4863962797;45.4863962797, 9.12964336253
SI-SCIA;via cilea  106  manutenzione straordinaria per opere interne;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;VIA CILEA FRANCESCO N.  106 INTERNO 3  PIANO 2-3;9.10015654717;45.4975548589;45.4975548589, 9.10015654717
SI-SCIA a sportello;via cascina dei prati n. 7 - installazione di manufatto provvisorio ai sensi dell'art.116 del r.e. - struttura in legno servizio di unita' commerciale - ristorante - ;manufatti provvisori art. 116 R.E.;2017-12-01T00:00:00.000+01:00;2020-12-01T00:00:00.000+01:00;VIA CASCINA DEI PRATI N.  7;9.15609432463;45.5135871174;45.5135871174, 9.15609432463
SI-SCIA Unica;Via ZUMBINI n°19 - Restauro e risanamento conservativo ex Canonica***unita a variante wf 6816/19**;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2017-11-30T00:00:00.000+01:00;2020-11-30T00:00:00.000+01:00;VIA ZUMBINI BONAVENTU N.  19  PIANO T-1-C;9.15948079333;45.4414170739;45.4414170739, 9.15948079333
SI-SCIA;MODIFICA DELLA SEPARAZIONE TRA DUE UNITA' IMMOBILIARI A USO REDISENZIALE (SUB  705 E 717) REALIZZAZIONE DI UNA SCALA SECONDARIA DI ACCESSO A UN SOLAIO SENZA PERMANENZA  DI PERSONE DI PERTINENZA DEL SUB 705 MODIFICHE AL LAYOUT DISTRIBUTIVO DI ENTRAMBE LE UNITA' MODIFICHE AGLI IMPIANTI ELETTRICI, IDRICOSANITARI E DI CLIMATIZZAZIONE DI  ENTRAMBE LE UNITA' RINNOVO DELLE FINITURE INTERNE DI ENTRAMBE LE UNITA';SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-30T00:00:00.000+01:00;2020-11-30T00:00:00.000+01:00;VLE BLIGNY N.  27;9.19327736059;45.4510466025;45.4510466025, 9.19327736059
SI-SCIA;Via Larga, 26  pt 3-5 -OPERE DI MANUTENZIONE STRAORDINARIA;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-30T00:00:00.000+01:00;2020-11-30T00:00:00.000+01:00;VIA LARGA N.  26  PIANO T-3-5;9.1909112258;45.46090239;45.46090239, 9.1909112258
SI-SCIA;Via Della Chiesa Rossa 89: Opere di manutenzione straordinaria presso unità immobiliare ad uso  residenziale con opere strutturali per rinforzo solaio esistente. La presente  Scia sostituisce la Cila presentata presso Municipio 5 Progr.29869/2017 del  10/10/17 PG 454394/2017;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-30T00:00:00.000+01:00;2020-11-30T00:00:00.000+01:00;VIA DELLA CHIESA ROSS N.  89;9.17073440986;45.4277080467;45.4277080467, 9.17073440986
SI-SCIA;realizzazione accesso esterno e modifiche interne dei locali ex falegnameria.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-30T00:00:00.000+01:00;2020-11-30T00:00:00.000+01:00;VIA SFORZA ASCANIO N.  91;9.17555061464;45.4401544607;45.4401544607, 9.17555061464
SI-SCIA;via fauchè giovanni n. 9 - VARIANTE NELLA REALIZZAZIONE DELL'INVOLUCRO EDILIZIO afferente all'Intervento di manutenzione straordinaria: -Nuova distribuzione degli spazi  -Riqualificazione Energetica dell'involucro edilizio -Adeguamento alle norme Igienico Sanitarie del RE: variante;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-29T00:00:00.000+01:00;2020-11-29T00:00:00.000+01:00;VIA FAUCHE' GIOVANNI N.  9  PIANO 5;9.16537661939836;45.4846054784664;45.4846054784664, 9.16537661939836
SI-SCIA;SCIA di manutenzione straordinaria per opere interne, con formazione di nuovo  bagno, risanamento e rinforzo solai esistenti;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-29T00:00:00.000+01:00;2020-11-29T00:00:00.000+01:00;VIA PEPE GUGLIELMO N.  12  PIANO 4;9.18689836036;45.4859334366;45.4859334366, 9.18689836036
SI-SCIA;Fusione due unità immobiliari, modifica di tramezze interne per diversa  distribuzione;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-28T00:00:00.000+01:00;2020-11-28T00:00:00.000+01:00;VIA VIGEVANO N.  9  PIANO 4-5;9.17476547366;45.4527722297;45.4527722297, 9.17476547366
SCIA alternativa a PDC;V.LE CORSICA N. 76 - Intervento di ampliamento e riqualificazione autorimessa unita a SCIA pratica n. 28712/2018;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2017-11-27T00:00:00.000+01:00;2020-11-27T00:00:00.000+01:00;VIALE CORSICA N.  76 INTERNO -  PIANO T,-1;9.23351807105202;45.4619609486699;45.4619609486699, 9.23351807105202
SCIA;V.LE CORSICA N. 76 - variante a w.f. 31430/2017 a intervento di ampliamento e riqualificazione autorimessa;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-11-27T00:00:00.000+01:00;2020-11-27T00:00:00.000+01:00;VIALE CORSICA N.  76 INTERNO -  PIANO T,-1;9.23351807105202;45.4619609486699;45.4619609486699, 9.23351807105202
SCIA alternativa a PDC;Recupero abitativo sottotetto;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2017-11-25T00:00:00.000+01:00;2020-11-25T00:00:00.000+01:00;VIA IGLESIAS N.  29 / A  PIANO 5;9.23103299267;45.5052581054;45.5052581054, 9.23103299267
SI-SCIA;viale monte grappa 4  scia in variante a prog. 15095/2016 PER DIVERSA DISTRIBUZIONE INTERNA DELL'APPARTAMENTO AL QUARTO PIANO FORATURA DELLA SOLETTA DI COPERTURA DEL QUARTO PIANO IN POSIZIONE DIFFERENTE DA QUELLA DELLA PRECEDENTE VARIANTE SCIA;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-11-24T00:00:00.000+01:00;2020-11-24T00:00:00.000+01:00;VIALE MONTE GRAPPA N.  4  PIANO 4;9.1919504526;45.4804759869;45.4804759869, 9.1919504526
SCIA alternativa a PDC;variante - LEGGE 10/91 SCOMPUTO MURI UNITA A VARIANTE W.F. 38032/2018;SCIA art. 23 DPR 380/01: 2 interventi di nuova costruzione o di ristrutturazione urbanistica qualora siano disciplinati da piani attuativi/accordi negoziali aventi valore di piano attuativo che contengano precise disposizioni plano-volumetriche/tipologiche/formali/costruttive la cui sussistenza sia stata esplicitamente dichiarata dal competente organo comunale in sede di approvazione degli stessi piani o di ricognizione di quelli vigenti (Attività n. 10 - Tabella A - Sez. II del d.lgs. 222/2016);2017-11-18T00:00:00.000+01:00;2020-11-18T00:00:00.000+01:00;VIA COZZI ROBERTO N.  40;9.21066131774;45.5093010905;45.5093010905, 9.21066131774
SI-SCIA a sportello;corso buenos ayres 92 - nuova distribuzione spazi interni e formazione di scala interna con sbarco su terrazzo di proprietà esclusiva nell'unità immobiliare sita in corso buenos ayres 92 ;;2017-11-17T00:00:00.000+01:00;2020-11-17T00:00:00.000+01:00;CORSO BUENOS AIRES N.  92;9.21634098124;45.4856123587;45.4856123587, 9.21634098124
SI-SCIA a sportello;via procaccini n. 66 - costruzione e demolizione tavolati divisori interni, costruzione sala di collegamento. Installazione canna fumaria;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-17T00:00:00.000+01:00;2020-11-17T00:00:00.000+01:00;VIA PROCACCINI GIULIO N.  66;9.16688841603;45.4813762217;45.4813762217, 9.16688841603
SI-SCIA a sportello;via imbonati 35 - modifiche interne ed esterne;;2017-11-17T00:00:00.000+01:00;2020-11-17T00:00:00.000+01:00;VIA IMBONATI CARLO N.  35;9.1824185013;45.5010966572;45.5010966572, 9.1824185013
SI-SCIA a sportello;via angeloni n. 40 - scia riguardante l'installazione di una piattaforma elevatrice all'interno del vano scala in edificio residenziale esistente (impianto conforme al D.M. 236/89);SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-17T00:00:00.000+01:00;2020-11-17T00:00:00.000+01:00;VIA ANGELONI LUIGI N.  40;9.17548043596;45.5281165374;45.5281165374, 9.17548043596
SI-SCIA a sportello;alzaia naviglio grande n. 56 - realizzazione soppalco;;2017-11-17T00:00:00.000+01:00;2020-11-17T00:00:00.000+01:00;ALZAIA NAVIGLIO GRAND N.  56;9.17057928134;45.4510345198;45.4510345198, 9.17057928134
SI-SCIA;corso italia n. 38 - Segnalazione Certificata Inizio Attività (S.C.I.A.) (art. 22, d.P.R. 6 giugno  2001, n. 380 - art. 19, 19-bis l. 7 agosto 1990, n. 241  artt. 5, 6 d.P.R. 7  settembre 2010, n. 160), per lavori di restauro e risanamento conservativo da  eseguire nell'unità immobiliare, ad uso laboratorio, ubicata al piano terra  dello stabile di corso Italia 38 mediante lesecuzione di opere interne.;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2017-11-16T00:00:00.000+01:00;2020-11-16T00:00:00.000+01:00;CORSO ITALIA N.  38;9.18736609679;45.4564392669;45.4564392669, 9.18736609679
SI-SCIA Unica;CORSO DI PORTA ROMANA N.  111  PIANO T   - opere interne, modifica disposizione interna con realizzazione di nuovi servizi  igienici;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-16T00:00:00.000+01:00;2020-11-16T00:00:00.000+01:00;CORSO DI PORTA ROMANA N.  111  PIANO T;9.19972166238;45.4538026935;45.4538026935, 9.19972166238
SI-SCIA;via gian galeazzo n. 2 - scia a variante prog. 16972/2017 riguardante la realizzazione di balcone su lato cortile - FASCICOLO UNITO A SCIA A VARIANTE 4261/2018;SCIA Art. 22 dpr 380/01: 5 Sanatoria dell'intervento (in tal caso possono essere barrati anche i punti 1 o 2) realizzato conforme alla disciplina urbanistica ed edilizia vigente sia al momento della realizzazione dello stesso sia al momento della presentazione della segnalazione ai sensi dell'articolo 37 comma 4 del d.P.R. n. 380/2001 ;2017-11-16T00:00:00.000+01:00;2020-11-16T00:00:00.000+01:00;VIALE GIAN GALEAZZO N.  2  PIANO 1;9.18150932076;45.4525858893;45.4525858893, 9.18150932076
comunicazione inizio attività edilizia libera;VIA CASELLA, 26 - OPERE INTERNE. REALIZZAZIONE NUOVA APERTURA DI FACCIATA POSTA SU FRONTE OVEST SU CAVEDIO COMUNE.;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2017-11-16T00:00:00.000+01:00;2020-11-16T00:00:00.000+01:00;VIA CASELLA N.  26;9.14462372926;45.4956019157;45.4956019157, 9.14462372926
comunicazione inizio attività edilizia libera;VIA CRIVELLI, 26 - accorpamento di n. 2 uu.ii. tramite apertura porta.;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2017-11-16T00:00:00.000+01:00;2020-11-16T00:00:00.000+01:00;VIA CRIVELLI CARLO N.  26;9.19569281644;45.4527587079;45.4527587079, 9.19569281644
comunicazione inizio attività edilizia libera;SANATORIA - VIA CARACCIOLO 62 - MODIFICHE INTERNE SU DUE U.I.;;2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIA CARACCIOLO FRANCE N.  62;9.16131073014;45.4909338647;45.4909338647, 9.16131073014
SI-SCIA;via bronzino n. 1 - CAMBIO D'USO DA NEGOZIO AD ABITAZIONE CON REALIZZAZIONE DI SOPPALCO unita a var wf 13982/18;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIA BRONZINO N.  1  PIANO T-S1;9.21937241361;45.474653828;45.474653828, 9.21937241361
SI-SCIA;viale   cassiodoro  12  REALIZZAZIONE DI UNA RAMPA E OPERE INTERNE- variante a scia wf 25488/17;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIALE CASSIODORO N.  12  PIANO T;9.16012476848;45.474394229;45.474394229, 9.16012476848
SI-SCIA;viale umbria n. 43 - Ristrutturazione di immobile ad uso laboratorio e realizzazione di fosse  interrate.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIALE UMBRIA N.  43  PIANO T-1;9.21350188158;45.4519199009;45.4519199009, 9.21350188158
SI-SCIA;VIA SCIESA AMATORE N. 3 - variante a scia 3222817  Intervento di manutenzione straordinaria, risanamento e restauro conservativo e  ristrutturazione edilizia Riconfigurazione spazi interni* unita a SCIA w.f. 8311/2018;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIA SCIESA AMATORE DE N.  3  PIANO T;9.20960305871;45.461601534;45.461601534, 9.20960305871
SI-SCIA;via ponte nuovo snc - Realizzazione di un parcheggio privato a servizio dei nuovi uffici Siemens  posti in via Vipiteno 4, in comune di Milano;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIA PONTE NUOVO N.  0;9.23713488907;45.511383301;45.511383301, 9.23713488907
SI-SCIA;via pignotti lorenzo n. 4 - Manutenzione Straordinaria via Lorenzo Pignotti;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-15T00:00:00.000+01:00;2020-11-15T00:00:00.000+01:00;VIA PIGNOTTI LORENZO N.  4  PIANO -1 T;9.13144323799;45.4632390164;45.4632390164, 9.13144323799
SI-SCIA;VIALE RESTELLI FRANCESCO 1A scia in variante a prog.18899/2017 per  modifiche interne*****UNITA SCIA ANTECEDENTE N. PROG. 1889917*****;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2017-11-14T00:00:00.000+01:00;2020-11-14T00:00:00.000+01:00;VIALE RESTELLI FRANCE N.  1 / A  PIANO tutti;9.19439500763;45.4867941155;45.4867941155, 9.19439500763
SI-SCIA; PIAZZA VIRGILIO N.  3  PIANO 4    Variante alla CILA atti PG 47798/2017 del 31/01/2017. Modifica della  distribuzione interna mediante demolizione e ricostruzione tavolati. Esecuzione  di contropareti e controsoffitti non portanti. Consolidamento strutturale di  porzione di solaio.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-14T00:00:00.000+01:00;2020-11-14T00:00:00.000+01:00;PIAZZA VIRGILIO N.  3  PIANO 4;9.17282396569;45.467563633;45.467563633, 9.17282396569
SI-SCIA;via valpetrosa n. 10 - scia a variante prog. 13065/2017 -  spostamento scala interna e velux in copertura ;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-11-14T00:00:00.000+01:00;2020-11-14T00:00:00.000+01:00;VIA VALPETROSA N.  10;9.18543572582;45.4619210438;45.4619210438, 9.18543572582
super DIA;DIA Edilizia ai sensi dell'Art. 41 L.R.L. n. 12/2005 per intervento edilizio  con recupero di SLP da realizzarsi ai piani 4°, 5° e 6° dell'edificio con  destinazione alberghiera prospiciente Via Cesare Beccaria;ristrutturazione mediante sostituzione edilizia totale o parziale - art 30 L.98/2013  - art. 66.3.3 R. E. ;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
super DIA;variante pg. 438581/2015 - realizzazione di una camera con servizio igienico al 5 piano del corpo centrale dell' albergo , tramite recupero di slp per ampliamento del locale fitness realizzato nel 2015;Ristrutturazione edilizia senza demolizione e ricostruzione - art.3.1 lettera d) DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
SCIA;variante pg. 94481/2017 w.f. 6263/2017 -  modifiche distributive interne;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
SCIA;variante ad atti i p.g. 573488/2016 - variante finale per piccole modifiche interne e completamento della parte di opere ancora non realizzate ;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
SCIA;Scia a variante Scia Rif. W.F. 9711/2017 - variante finale  - P.tta Pattari, 4;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
super DIA;VARIANTE AD ATTI W.F. 18875/2015 - INTERVENTO DI M.S. PER REALIZZAZIONE DI MODIFICHE INTERNE ED ESTERNE AL CORPO CENTRALE DELL'ALBERGO DENOMINATO STARHOTELS ROSA GRAND- ;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
super DIA;intervento di manutenzione straordinaria - variante wf 2044/2014 - modiiche interne;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
super DIA;variante art. 68 R.E. a w.f.2044/2014 -variante in corso d'opera per la realizzazione di modifiche interne ai piani 1°, 2°,3° . ;ristrutturazione mediante sostituzione edilizia totale o parziale - art 30 L.98/2013  - art. 66.3.3 R. E. ;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
